Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
11-April-2023,1430.75,1433.05,1389.00,1407.05,1402.129186615347706814,383484,10470,537694109.00,246919,64.39,44.05,-23.70
10-April-2023,1422.00,1433.95,1414.20,1427.30,1429.085303521171691679,282122,12773,403176404.00,149665,53.05,19.75,5.30
6-April-2023,1423.30,1427.95,1410.50,1422.10,1420.216043765572527353,92310,6657,131100143.00,38881,42.12,17.45,-1.20
5-April-2023,1396.00,1427.00,1396.00,1423.35,1419.710065162793854786,176788,12937,250987703.00,98472,55.70,31.00,27.35
3-April-2023,1431.05,1438.00,1405.35,1410.95,1413.574471077358507150,113769,6714,160820954.00,56411,49.58,32.65,-20.10
31-March-2023,1408.00,1430.00,1394.00,1427.70,1414.958728872850462127,135785,7238,192130171.00,58147,42.82,36.00,19.70
29-March-2023,1377.60,1389.00,1365.00,1383.50,1373.688989744606876596,171422,12118,235480514.00,105976,61.82,24.00,5.90
28-March-2023,1391.50,1397.50,1376.00,1377.40,1384.740395992152046608,133538,6830,184915463.00,93086,69.71,21.50,-14.10
27-March-2023,1384.00,1395.75,1374.05,1388.90,1388.099674738764439545,92541,6062,128456132.00,45673,49.35,21.70,4.90
24-March-2023,1386.00,1399.00,1378.00,1380.45,1390.895605226613380020,218191,12232,303480903.00,149366,68.46,21.00,-5.55
23-March-2023,1383.50,1383.50,1370.40,1374.50,1376.673968179582714288,388367,32440,534654739.00,212948,54.83,13.10,-9.00
22-March-2023,1402.00,1406.65,1382.20,1389.45,1390.492740102176339740,245458,21757,341307567.00,132293,53.90,24.45,-12.55
21-March-2023,1403.80,1405.60,1390.05,1391.05,1395.065875050060072086,249700,30172,348347949.00,189503,75.89,15.55,-12.75
20-March-2023,1418.80,1419.65,1385.70,1403.80,1400.039858344033467257,241430,25152,338011623.00,137141,56.80,33.95,-15.00
17-March-2023,1429.00,1442.65,1411.60,1420.85,1431.551512230389203518,248970,20175,356413380.00,110346,44.32,31.05,-8.15
16-March-2023,1413.30,1416.30,1399.20,1406.20,1407.407256987121252605,205843,11554,289704932.00,139599,67.82,17.10,-7.10
15-March-2023,1435.10,1441.90,1416.90,1419.35,1424.523339478334696680,419311,27150,597318306.00,325889,77.72,25.00,-15.75
14-March-2023,1439.70,1448.40,1411.20,1421.05,1425.557496687739879611,819682,23283,1168503820.00,209646,25.58,37.20,-18.65
13-March-2023,1462.00,1478.35,1428.00,1434.80,1447.123406264756807807,273179,17793,395323725.00,179639,65.76,50.35,-27.20
10-March-2023,1460.00,1474.50,1457.10,1471.35,1466.938890456659308883,258683,16951,379472153.00,186984,72.28,17.40,11.35
9-March-2023,1495.20,1498.60,1475.00,1480.75,1485.618716240547353258,111080,7477,165022527.00,68932,62.06,23.60,-14.45
8-March-2023,1488.00,1494.75,1481.45,1492.50,1488.144260523601355665,162872,17536,242377032.00,105819,64.97,13.30,4.50
6-March-2023,1489.90,1520.00,1489.90,1507.55,1510.649755476052639865,412843,20515,623661177.00,256097,62.03,30.10,17.65
3-March-2023,1489.00,1489.00,1473.60,1479.80,1480.005962059620596205,99630,4883,147452994.00,60841,61.07,15.40,-9.20
2-March-2023,1489.95,1489.95,1467.90,1472.10,1474.463750496125002611,239355,23212,352920271.00,176480,73.73,22.05,-17.85
1-March-2023,1492.00,1501.00,1481.75,1496.65,1494.452394636549803864,179213,9566,267825297.00,146896,81.97,19.25,4.65
28-February-2023,1519.40,1523.80,1481.30,1487.30,1501.768205690145515757,277427,19456,416631048.00,188480,67.94,42.50,-32.10
27-February-2023,1544.95,1544.95,1502.05,1509.40,1511.088673541655870515,289455,21716,437392172.00,204944,70.80,42.90,-35.55
24-February-2023,1555.05,1569.00,1546.70,1551.45,1552.625522795406116629,327566,10112,508587332.00,266860,81.47,22.30,-3.60
23-February-2023,1570.00,1570.00,1548.00,1551.50,1557.188717214247836944,220637,20041,343573447.00,158179,71.69,22.00,-18.50
22-February-2023,1564.00,1575.00,1556.05,1562.55,1567.930246137261947538,155848,9137,244358793.00,127859,82.04,18.95,-1.45
21-February-2023,1599.00,1601.15,1575.90,1579.25,1586.936652307692307692,243750,20092,386815809.00,197867,81.18,25.25,-19.75
20-February-2023,1589.00,1602.45,1582.60,1593.25,1594.509954434451128715,134312,8429,214161821.00,98291,73.18,19.85,4.25
17-February-2023,1585.00,1595.00,1575.30,1583.45,1588.187118142645829313,217686,10562,345726101.00,145363,66.78,19.70,-1.55
16-February-2023,1600.10,1613.95,1598.25,1601.95,1606.667096637503427303,160476,6359,257831509.00,119625,74.54,15.70,1.85
15-February-2023,1584.00,1599.00,1576.35,1596.85,1589.774473952400935195,83405,4052,132595140.00,53895,64.62,22.65,12.85
14-February-2023,1582.05,1595.70,1578.75,1592.65,1590.911764371453803266,263839,4832,419744569.00,220517,83.58,16.95,10.60
13-February-2023,1598.00,1598.00,1565.60,1567.40,1572.922288319924526324,190795,7472,300105708.00,113816,59.65,32.40,-30.60
10-February-2023,1610.05,1616.25,1596.20,1607.95,1608.928344354394709890,337838,12236,543557134.00,207362,61.38,20.05,-2.10
9-February-2023,1590.00,1620.00,1586.50,1617.70,1606.020927792558174392,106748,7387,171439522.00,52504,49.18,33.50,27.70
8-February-2023,1560.05,1602.55,1560.05,1589.70,1593.897660503615212114,194871,8555,310604431.00,118608,60.86,42.50,29.65
7-February-2023,1561.05,1576.00,1558.00,1562.35,1567.182238635971421668,202811,15997,317841797.00,124420,61.35,18.00,1.30
6-February-2023,1598.00,1598.00,1561.90,1570.50,1570.836256161051177894,173063,19960,271853635.00,113276,65.45,36.10,-27.50
3-February-2023,1592.25,1604.40,1573.35,1599.15,1593.520938905531047938,231674,11074,369177370.00,134095,57.88,31.05,6.90
2-February-2023,1553.70,1586.75,1552.25,1583.30,1577.593267461600235837,196746,16889,310385165.00,122893,62.46,34.50,29.60
1-February-2023,1540.00,1555.00,1528.20,1549.45,1540.175490470292084548,250270,15500,385459720.00,190163,75.98,26.80,9.45
31-January-2023,1546.00,1547.60,1513.00,1533.15,1523.147570716260604485,169268,16145,257820143.00,94612,55.89,34.60,-12.85
30-January-2023,1529.00,1543.75,1520.05,1539.10,1534.024341082522062430,169179,12072,259524704.00,111242,65.75,23.70,10.10
27-January-2023,1543.00,1550.80,1507.65,1518.25,1538.070338584520204014,1405587,11743,2161891673.00,1327041,94.41,43.15,-24.75
25-January-2023,1540.00,1555.50,1539.00,1542.90,1546.770500581905938296,140057,9963,216636036.00,79507,56.77,16.50,2.90
24-January-2023,1558.30,1568.80,1549.35,1552.35,1563.588121582170537930,659044,14326,1030473370.00,591800,89.80,19.45,-5.95
23-January-2023,1534.00,1552.90,1528.70,1547.80,1542.704542849731868715,165777,7795,255744931.00,112267,67.72,24.20,13.80
20-January-2023,1539.00,1544.25,1523.45,1525.45,1533.187137467578401320,254460,18625,390134799.00,181827,71.46,20.80,-13.55
19-January-2023,1539.80,1549.40,1526.00,1541.30,1540.888296419606976109,230673,10768,355441326.00,169066,73.29,23.40,1.50
18-January-2023,1547.00,1551.30,1539.20,1545.05,1546.861295309948318880,252897,14299,391196581.00,151379,59.86,12.10,-1.95
17-January-2023,1527.00,1542.00,1525.35,1539.75,1535.795275239581011811,246785,9565,379011237.00,185355,75.11,16.65,12.75
16-January-2023,1514.00,1528.00,1502.50,1525.25,1518.937674709550462959,153469,10298,233109846.00,62100,40.46,25.50,11.25
13-January-2023,1489.95,1519.20,1468.00,1503.50,1496.719649359596215220,284508,16063,425828714.00,119663,42.06,51.20,13.55
12-January-2023,1482.00,1485.00,1455.25,1480.55,1471.167882730139462469,227373,14892,334503855.00,85115,37.43,29.75,-1.45
11-January-2023,1470.00,1494.00,1463.40,1471.45,1479.367515134562745999,300306,15477,444262941.00,169572,56.47,30.60,1.45
10-January-2023,1484.40,1484.40,1454.40,1470.40,1463.519297742623683478,237178,16113,347114580.00,144666,60.99,30.00,-14.00
9-January-2023,1444.00,1489.10,1444.00,1484.50,1478.820300032959896616,306433,18926,453159341.00,177341,57.87,45.10,40.50
6-January-2023,1470.00,1474.60,1447.00,1448.85,1457.129755381968504203,295849,33787,431090381.00,209825,70.92,27.60,-21.15
5-January-2023,1501.00,1505.00,1470.00,1475.20,1480.048770381810220215,424766,35612,628674396.00,295667,69.61,35.00,-25.80
4-January-2023,1522.90,1522.90,1492.05,1494.90,1502.164598129734848484,337920,26400,507611461.00,254589,75.34,30.85,-28.00
3-January-2023,1521.00,1533.00,1515.30,1522.55,1527.485625168336272882,230194,12613,351618026.00,138229,60.05,17.70,1.55
2-January-2023,1513.00,1526.30,1505.00,1524.30,1517.358820273006715906,137286,10943,208312123.00,62193,45.30,21.30,11.30
30-December-2022,1525.15,1530.00,1504.00,1508.70,1521.439758387259816553,241378,12625,367242086.00,202560,83.92,26.00,-16.45
29-December-2022,1502.00,1521.00,1501.20,1517.50,1511.686290314455269972,198502,13696,300072752.00,127363,64.16,19.80,15.50
28-December-2022,1505.00,1524.95,1498.85,1510.85,1509.695728703305113120,209070,16513,315632086.00,129305,61.85,26.10,5.85
27-December-2022,1510.00,1521.10,1498.15,1515.50,1510.179806493227262954,116275,9225,175596157.00,83345,71.68,22.95,5.50
26-December-2022,1497.65,1509.90,1496.15,1502.25,1505.825382153220257859,334290,14616,503382367.00,255674,76.48,13.75,4.60
23-December-2022,1508.00,1509.80,1493.60,1497.55,1501.390692800041573199,230918,15731,346698136.00,146829,63.58,16.20,-10.45
22-December-2022,1517.55,1529.00,1512.20,1521.05,1522.123916799340383347,368699,23768,561205566.00,179660,48.73,16.80,3.50
21-December-2022,1513.00,1520.40,1502.75,1509.80,1510.418504706625364650,332510,27042,502229257.00,211628,63.65,17.65,-3.20
20-December-2022,1504.00,1517.45,1483.00,1507.50,1497.022294778163513822,319447,30678,478219281.00,185138,57.96,34.45,3.50
19-December-2022,1515.00,1516.50,1494.95,1507.60,1507.586716352476983779,250910,23036,378268583.00,145572,58.02,21.55,-7.40
16-December-2022,1529.80,1548.95,1512.00,1522.35,1534.643794746738484763,223899,12860,343605211.00,137034,61.20,36.95,-7.45
15-December-2022,1567.00,1570.45,1535.60,1539.40,1550.043375806402038160,292813,26786,453872851.00,196596,67.14,34.85,-27.60
14-December-2022,1578.00,1588.10,1572.20,1580.25,1582.047799805322210050,327721,16378,518470287.00,237187,72.37,15.90,2.25
13-December-2022,1548.00,1577.70,1541.60,1572.70,1562.093074339865673014,86952,7335,135827117.00,41766,48.03,36.10,24.70
12-December-2022,1557.00,1565.60,1530.90,1547.10,1543.882486720916351217,264702,15653,408668782.00,162728,61.48,34.70,-9.90
9-December-2022,1625.00,1629.90,1562.00,1568.85,1574.775187074050554184,305494,23635,481084371.00,233021,76.28,67.90,-56.15
8-December-2022,1605.05,1623.10,1598.40,1619.95,1609.061768876949974112,133271,10396,214441271.00,99623,74.75,24.70,14.90
7-December-2022,1612.95,1623.90,1597.25,1605.05,1614.578346332584223959,98339,7838,158776020.00,65005,66.10,26.65,-7.90
6-December-2022,1621.00,1625.00,1607.50,1612.85,1616.528702513409282326,157913,12934,255270897.00,73205,46.36,17.50,-8.15
5-December-2022,1634.50,1644.50,1623.00,1640.50,1633.603425147199395940,124491,11233,203368924.00,66860,53.71,21.50,6.00
2-December-2022,1652.20,1661.00,1634.10,1638.55,1644.468153889264795336,146313,12988,240607069.00,81653,55.81,26.90,-13.65
1-December-2022,1652.00,1672.45,1652.00,1657.60,1661.186385200391164846,123733,6221,205543575.00,48993,39.60,20.45,5.60
30-November-2022,1620.00,1645.00,1613.70,1632.40,1627.437610143993122716,116325,5447,189311680.00,65366,56.19,31.30,12.40
29-November-2022,1618.90,1638.40,1615.00,1628.30,1626.448441480471855782,61629,4056,100236391.00,29484,47.84,23.40,9.40
28-November-2022,1628.00,1653.00,1619.85,1623.25,1637.832944871071419809,81518,5814,133512866.00,43244,53.05,33.15,-4.75
25-November-2022,1629.80,1643.90,1608.65,1630.75,1627.396505309646685192,322432,18543,524724710.00,249929,77.51,35.25,0.95
24-November-2022,1588.00,1635.00,1584.60,1629.80,1613.930339356640127560,554402,29751,894766208.00,454575,81.99,50.40,41.80
23-November-2022,1592.00,1592.00,1579.30,1583.40,1585.430095880397607525,187421,9295,297142894.00,117950,62.93,12.70,-8.60
22-November-2022,1567.20,1587.95,1562.10,1585.60,1574.588684812518648675,60326,3205,94988637.00,28897,47.90,25.85,18.40
21-November-2022,1589.50,1589.50,1565.00,1567.20,1571.374698186310292548,53427,3888,83953836.00,20272,37.94,24.50,-22.30
18-November-2022,1592.00,1598.00,1575.85,1592.90,1586.544949635704901063,50234,3073,79698499.00,,,22.15,0.90
17-November-2022,1595.00,1602.95,1583.40,1586.85,1593.209403836581536929,52234,3378,83219700.00,18494,35.41,19.55,-8.15
16-November-2022,1594.00,1608.75,1592.85,1602.20,1601.684427667605933329,94045,5000,150630412.00,49773,52.92,15.90,8.20
15-November-2022,1560.05,1597.25,1560.05,1593.70,1583.655834543195032874,420847,7209,666476807.00,396247,94.15,37.20,33.65
14-November-2022,1572.00,1591.00,1569.00,1584.00,1570.519943746395496056,5033633,7286,7905421016.00,4976908,98.87,22.00,12.00
11-November-2022,1535.25,1573.00,1535.25,1570.05,1563.231689867348844242,872891,43487,1364530873.00,703633,80.61,37.75,34.80
10-November-2022,1482.00,1511.40,1482.00,1502.25,1501.820212678262303190,60655,3620,91092905.00,25783,42.51,29.40,20.25
9-November-2022,1527.00,1527.00,1501.00,1510.25,1515.172534156279961649,66752,5435,101140797.00,33813,50.65,26.00,-16.75
7-November-2022,1515.00,1526.95,1491.00,1507.05,1505.486184568236864218,80924,6479,121829964.00,37782,46.69,35.95,-7.95
4-November-2022,1522.70,1522.70,1501.25,1513.90,1509.500212823155159281,89276,5992,134762141.00,40775,45.67,21.45,-8.80
3-November-2022,1541.00,1544.00,1522.25,1530.50,1532.360610890107545772,79687,5949,122109220.00,35542,44.60,21.75,-10.50
2-November-2022,1574.00,1574.00,1545.00,1552.45,1553.624292365483307761,75604,4952,117460211.00,34049,45.04,29.00,-21.55
1-November-2022,1550.00,1574.50,1547.60,1572.75,1560.627463413137521604,488905,29518,762998570.00,386426,79.04,26.90,22.75
31-October-2022,1522.20,1546.20,1522.20,1537.90,1537.859226964863844916,100694,6276,154853197.00,51263,50.91,24.00,15.70
28-October-2022,1521.00,1526.00,1507.40,1512.60,1516.274870237777732187,48743,3940,73907786.00,19543,40.09,18.60,-8.40
27-October-2022,1526.05,1534.60,1513.00,1522.60,1522.802733636019674612,105720,6986,160990705.00,53567,50.67,21.60,-3.45
25-October-2022,1525.00,1532.65,1521.10,1525.75,1517.711687987024186480,2696093,5008,4091891858.00,2660370,98.68,11.55,0.75
24-October-2022,1516.05,1521.80,1511.25,1517.40,1518.339551826912462744,54354,4825,82527828.00,,,10.55,1.35
21-October-2022,1500.90,1505.90,1491.20,1500.10,1499.837885143019332050,63418,4011,95116719.00,22926,36.15,14.70,-0.80
20-October-2022,1477.00,1503.90,1476.00,1500.30,1494.329310274998987485,74073,4981,110689455.00,25549,34.49,27.90,23.30
19-October-2022,1507.45,1507.45,1481.85,1485.00,1490.057410713171133608,80107,5644,119364029.00,35477,44.29,25.60,-22.45
18-October-2022,1507.00,1510.00,1497.05,1503.55,1503.957110341708617225,269762,18105,405710478.00,185393,68.72,12.95,-3.45
17-October-2022,1475.00,1495.00,1475.00,1490.20,1474.712142380711922401,4245856,9133,6261415398.00,4162262,98.03,20.00,15.20
14-October-2022,1487.70,1494.00,1468.00,1474.05,1479.579364270061125658,519749,17418,769009895.00,123484,23.76,26.00,-13.65
13-October-2022,1434.45,1437.60,1415.85,1419.75,1424.402719040370459124,296281,16856,422023462.00,167804,56.64,21.75,-14.70
12-October-2022,1446.00,1446.00,1414.20,1428.85,1431.978320083444574751,370066,17245,529926489.00,257068,69.47,31.80,-17.15
11-October-2022,1462.00,1479.00,1420.20,1423.90,1461.842855846018118729,5673135,27247,8293231870.00,5395973,95.11,58.80,-38.10
10-October-2022,1423.35,1465.00,1423.35,1462.70,1447.049859091137839061,238452,15714,345051933.00,133455,55.97,41.65,39.35
7-October-2022,1450.00,1457.20,1440.90,1451.75,1449.443476951301323913,73041,6688,105868801.00,36575,50.07,16.30,1.75
6-October-2022,1441.00,1459.40,1441.00,1454.95,1453.128009246518795751,363380,22302,528037656.00,239782,65.99,18.40,13.95
4-October-2022,1419.00,1432.20,1414.00,1429.80,1427.432482095471795018,175235,8444,250136131.00,92072,52.54,18.20,10.80
3-October-2022,1411.00,1411.00,1387.00,1394.00,1400.441201443430269581,160174,9405,224314269.00,85150,53.16,24.00,-17.00
30-September-2022,1386.05,1419.70,1376.00,1413.10,1394.398966290031562472,192317,13004,268166626.00,106699,55.48,43.70,27.05
29-September-2022,1406.00,1409.25,1393.00,1397.55,1399.377513962982442958,159708,6823,223491784.00,100270,62.78,16.25,-8.45
28-September-2022,1381.90,1405.70,1378.00,1394.45,1399.958801058656340856,306804,10083,429512960.00,226041,73.68,27.70,12.55
27-September-2022,1395.00,1406.00,1378.80,1392.20,1391.994929441224422931,512764,11226,713764888.00,386953,75.46,27.20,-2.80
26-September-2022,1363.50,1398.90,1355.50,1379.75,1375.233080475515995168,623407,19996,857329929.00,,,43.40,16.25
23-September-2022,1367.80,1394.60,1362.00,1365.25,1377.687682564905475194,256758,13451,353732334.00,107787,41.98,32.60,-2.55
22-September-2022,1376.00,1383.75,1360.05,1367.80,1371.706449697239631385,188598,12798,258701093.00,104254,55.28,23.70,-8.20
21-September-2022,1381.00,1388.45,1368.60,1376.55,1377.468759659860504588,177927,10180,245088884.00,82748,46.51,19.85,-4.45
20-September-2022,1412.00,1413.85,1385.20,1388.35,1400.224653403565896874,315713,25515,442069126.00,169657,53.74,28.65,-23.65
19-September-2022,1386.00,1406.00,1380.60,1390.30,1378.841510813674986218,3366848,33438,4642349783.00,3155665,93.73,25.40,4.30
16-September-2022,1425.00,1425.00,1368.60,1379.15,1395.224945249765356137,460272,30514,642182976.00,293369,63.74,56.40,-45.85
15-September-2022,1473.35,1475.25,1429.40,1432.05,1444.626854351599848859,365222,21801,527609509.00,203788,55.80,45.85,-41.30
14-September-2022,1500.00,1500.00,1471.10,1475.00,1481.167923794405737758,760994,60820,1127159903.00,410793,53.98,28.90,-25.00
13-September-2022,1552.00,1553.00,1541.10,1545.00,1548.189038905177246950,108803,4931,168447612.00,42781,39.32,11.90,-7.00
12-September-2022,1525.00,1545.00,1523.55,1535.60,1538.533983732117989618,379152,21412,583338237.00,214049,56.45,21.45,10.60
9-September-2022,1489.10,1519.80,1480.00,1511.85,1498.666864833341826190,353238,24359,529386086.00,,,39.80,22.75
8-September-2022,1472.00,1480.00,1464.00,1475.95,1472.372447396418228027,270704,16135,398577111.00,123825,45.74,16.00,3.95
7-September-2022,1442.00,1465.75,1437.30,1457.80,1451.823956086053591951,198388,18061,288024451.00,75614,38.11,28.45,15.80
6-September-2022,1461.55,1469.70,1446.00,1455.35,1454.851441626420659938,103737,5949,150921924.00,53874,51.93,23.70,-6.20
5-September-2022,1451.00,1467.00,1447.00,1460.85,1459.056842665585156269,78902,5395,115122503.00,32964,41.78,20.00,9.85
2-September-2022,1480.00,1480.00,1448.30,1452.90,1456.255791625769895118,233311,24128,339760495.00,,,31.70,-27.10
1-September-2022,1465.00,1468.20,1451.50,1464.40,1458.724933481870615850,587058,32034,856356142.00,437079,74.45,16.70,-0.60
30-August-2022,1470.00,1495.95,1466.00,1493.20,1480.290531810880648089,229104,17259,339140482.00,109592,47.84,29.95,23.20
29-August-2022,1453.35,1468.85,1450.00,1462.00,1458.452587781649948605,528271,49011,770458207.00,350660,66.38,18.85,8.65
26-August-2022,1536.00,1544.05,1518.05,1521.85,1533.252063512232828772,188877,11776,289596050.00,84831,44.91,26.00,-14.15
25-August-2022,1545.35,1549.00,1514.00,1518.85,1536.067210056381272330,290522,12150,446261318.00,235415,81.03,35.00,-26.50
24-August-2022,1537.00,1546.00,1531.15,1537.30,1538.728436954697226767,165619,10813,254842665.00,74265,44.84,14.85,0.30
23-August-2022,1546.55,1554.85,1533.00,1542.55,1541.957400219567943080,166691,10166,257030421.00,90238,54.13,21.85,-4.00
22-August-2022,1585.00,1599.55,1573.85,1575.45,1587.700535269200909821,367105,19445,582852805.00,219272,59.73,25.70,-9.55
19-August-2022,1584.00,1604.70,1584.00,1597.40,1597.453678451319289909,239068,11155,381900056.00,169510,70.90,20.70,13.40
18-August-2022,1589.00,1600.00,1574.00,1582.70,1583.362010511891818866,310886,23128,492245082.00,,,26.00,-6.30
17-August-2022,1594.00,1612.00,1585.45,1606.75,1604.481197906004152896,170965,7247,274310128.00,104742,61.27,26.55,12.75
16-August-2022,1601.20,1608.45,1591.10,1595.80,1598.722371852421871660,140346,11135,224374290.00,72615,51.74,17.35,-5.40
12-August-2022,1610.55,1613.70,1590.00,1594.50,1597.093646401012495631,211754,7192,338190968.00,147747,69.77,23.70,-16.05
11-August-2022,1625.00,1631.00,1616.15,1619.70,1621.107670636575368937,196646,11000,318784339.00,138432,70.40,14.85,-5.30
10-August-2022,1619.00,1620.25,1588.50,1601.40,1598.230659244804546639,222406,9819,355456088.00,128838,57.93,31.75,-17.60
8-August-2022,1616.10,1621.85,1596.00,1619.10,1610.158904171773571201,176232,9415,283761524.00,101336,57.50,25.85,3.00
5-August-2022,1610.00,1625.60,1603.65,1616.55,1616.063181664426830494,109383,7627,176769839.00,51686,47.25,21.95,6.55
4-August-2022,1583.00,1603.70,1574.90,1599.65,1592.158347199112590127,230784,10165,367444672.00,73643,31.91,28.80,16.65
3-August-2022,1544.00,1570.00,1540.30,1565.15,1558.721272444228425716,141963,7416,221280748.00,69999,49.31,29.70,21.15
2-August-2022,1549.00,1549.00,1528.65,1542.90,1536.347464337171116678,77041,5527,118361745.00,31812,41.29,20.35,-6.10
1-August-2022,1570.00,1570.00,1537.70,1550.60,1549.708835090804541275,4624163,5411,7166106256.00,4583058,99.11,32.30,-19.40
29-July-2022,1531.00,1555.00,1528.00,1549.60,1545.821677992836164203,372147,24425,575272900.00,267423,71.86,27.00,18.60
28-July-2022,1491.00,1523.80,1489.65,1517.45,1509.716936041251488595,496273,30019,749231753.00,312108,62.89,34.15,26.45
27-July-2022,1451.00,1472.80,1444.55,1471.20,1460.737775095884698255,316526,16512,462361485.00,151930,48.00,28.25,20.20
26-July-2022,1501.40,1501.40,1445.20,1451.80,1459.850646638596286745,411822,20337,601198613.00,295576,71.77,56.20,-49.60
25-July-2022,1478.35,1516.95,1478.35,1502.85,1499.250245562402280879,271825,16677,407533698.00,112251,41.30,38.60,24.50
22-July-2022,1530.20,1539.80,1492.80,1506.30,1505.711998745406534906,235933,10431,355247149.00,104219,44.17,47.00,-23.90
21-July-2022,1520.00,1535.00,1503.00,1532.85,1524.842357860024143921,135852,6740,207152884.00,44778,32.96,32.00,12.85
20-July-2022,1501.95,1525.00,1499.05,1514.95,1516.232096891694997571,329440,18233,499507502.00,175749,53.35,25.95,13.00
19-July-2022,1475.00,1486.55,1470.55,1484.90,1477.982646412460963102,259370,12696,383344359.00,146323,56.41,16.00,9.90
18-July-2022,1447.25,1492.90,1447.25,1490.05,1434.570129026455321101,4992077,20153,7161484546.00,4800092,96.15,45.65,42.80
15-July-2022,1440.05,1443.50,1410.90,1430.50,1424.143436726960122107,227996,17844,324699007.00,92985,40.78,32.60,-9.55
14-July-2022,1451.80,1453.20,1413.90,1429.10,1438.286271472924136662,282798,19455,406744481.00,179291,63.40,39.30,-22.70
13-July-2022,1449.00,1460.10,1438.60,1444.95,1447.230686132879917157,156442,7568,226407663.00,91057,58.20,21.50,-4.05
12-July-2022,1467.90,1468.60,1436.00,1438.50,1454.649147675071792691,190479,12172,277080115.00,142394,74.76,32.60,-29.40
11-July-2022,1507.00,1507.00,1467.00,1472.80,1473.048005132523356991,249390,12364,367363442.00,172017,68.98,40.00,-34.20
8-July-2022,1515.00,1516.20,1499.95,1514.00,1508.115242240761926021,215034,13391,324296053.00,117232,54.52,16.25,-1.00
7-July-2022,1498.95,1514.00,1495.50,1498.75,1505.948954595100639725,256360,14443,386065074.00,154289,60.18,18.50,-0.20
6-July-2022,1482.00,1500.00,1470.10,1491.95,1484.107493550949258095,284538,13004,422284978.00,169915,59.72,29.90,9.95
5-July-2022,1497.00,1509.90,1472.10,1476.35,1498.076195435216523474,195891,6684,293459644.00,135590,69.22,37.80,-20.65
4-July-2022,1482.00,1492.05,1461.80,1487.75,1479.034309651251703846,120316,6234,177951492.00,71100,59.09,30.25,5.75
1-July-2022,1453.70,1484.70,1442.25,1478.05,1460.391572991885654730,107464,6706,156939520.00,56684,52.75,42.45,24.35
30-June-2022,1462.95,1481.90,1455.15,1461.20,1464.001627369810415166,400032,17532,585647499.00,320517,80.12,26.75,-1.75
29-June-2022,1466.70,1477.20,1457.90,1463.70,1471.755026098539411117,258252,10493,380083679.00,195607,75.74,19.30,-3.00
28-June-2022,1459.40,1485.90,1453.00,1480.25,1465.666626034222675951,65629,4390,96190235.00,21054,32.08,32.90,20.85
27-June-2022,1470.00,1484.10,1465.30,1474.55,1476.054664260320684901,220528,14537,325511383.00,100976,45.79,18.80,4.55
24-June-2022,1459.95,1469.00,1428.80,1442.05,1443.245654731887712220,208215,15942,300505394.00,99686,47.88,40.20,-17.90
23-June-2022,1439.80,1458.75,1433.85,1453.20,1447.310149797279152174,305346,19299,441930365.00,164719,53.94,24.90,13.40
22-June-2022,1435.00,1459.30,1435.00,1437.35,1448.291538303553090983,243450,11302,352586575.00,113251,46.52,24.30,2.35
21-June-2022,1420.00,1455.55,1420.00,1450.00,1446.385222140728979444,372219,20305,538372061.00,227061,61.00,35.55,30.00
20-June-2022,1389.00,1423.00,1382.10,1414.75,1401.551998732951008666,271497,18851,380517163.00,125213,46.12,40.90,25.75
17-June-2022,1394.95,1397.05,1367.20,1387.65,1383.765008187345132448,299853,15574,414926089.00,183911,61.33,29.85,-7.30
16-June-2022,1440.00,1444.80,1392.15,1397.15,1415.404054775985975801,372499,19382,527236595.00,277969,74.62,52.65,-42.85
15-June-2022,1440.00,1446.25,1418.45,1421.65,1433.337837703664723929,201434,8067,288722974.00,155263,77.08,27.80,-18.35
14-June-2022,1407.05,1448.95,1404.00,1440.25,1439.867143826164245783,342024,9624,492469120.00,249274,72.88,44.95,33.20
13-June-2022,1444.00,1445.00,1412.30,1424.20,1426.947650887639577303,450915,41419,643432100.00,296506,65.76,32.70,-19.80
10-June-2022,1485.00,1492.65,1474.10,1477.15,1484.956468009513384522,375471,12760,557558090.00,290187,77.29,18.55,-7.85
9-June-2022,1487.80,1517.00,1482.00,1514.60,1503.881908404218161804,283441,9204,426261792.00,213502,75.32,35.00,26.80
8-June-2022,1523.00,1523.00,1492.30,1499.95,1502.165641903313049357,189312,12363,284377982.00,68764,36.32,30.70,-23.05
7-June-2022,1518.00,1519.00,1503.00,1507.25,1510.114288452803140484,239963,14405,362371555.00,156271,65.12,16.00,-10.75
6-June-2022,1521.00,1536.60,1493.05,1530.35,1514.028589797103118058,208431,14683,315570493.00,69870,33.52,43.55,9.35
3-June-2022,1524.90,1555.05,1518.50,1522.00,1542.630084937823936306,253715,10946,391388392.00,123596,48.71,36.55,-2.90
2-June-2022,1485.55,1513.80,1475.60,1507.90,1496.018278797229252415,378526,20309,566281815.00,176925,46.74,38.20,22.35
1-June-2022,1505.15,1514.00,1471.60,1478.90,1493.147136015149565185,435128,26874,649710127.00,243398,55.94,42.40,-26.25
31-May-2022,1513.00,1517.50,1488.70,1503.95,1505.100963936636332996,370875,20226,558204320.00,191239,51.56,28.80,-9.05
